state,name,picture,href
Alabama,Richard Shelby,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Richard_Shelby%2C_official_portrait%2C_112th_Congress_%28cropped%29.jpg/95px-Richard_Shelby%2C_official_portrait%2C_112th_Congress_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Richard_Shelby
Alabama,Doug Jones,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Senator_Doug_Jones_official_photo_%28cropped_2%29.jpg/95px-Senator_Doug_Jones_official_photo_%28cropped_2%29.jpg,https://en.wikipedia.org/wiki/wiki/Doug_Jones_(politician)
Alaska,Lisa Murkowski,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Lisa_Murkowski_official_photo_%28cropped%29.jpg/95px-Lisa_Murkowski_official_photo_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Lisa_Murkowski
Alaska,Dan Sullivan,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Senator_Dan_Sullivan_official_%28cropped%29.jpg/95px-Senator_Dan_Sullivan_official_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Dan_Sullivan_(U.S._senator)
Arizona,Kyrsten Sinema,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Kyrsten_Sinema_by_Gage_Skidmore_%28cropped%29.jpg/95px-Kyrsten_Sinema_by_Gage_Skidmore_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Kyrsten_Sinema
Arizona,Martha McSally,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Sen._Martha_McSally_official_Senate_headshot_116th_congress_%28cropped%29.jpg/95px-Sen._Martha_McSally_official_Senate_headshot_116th_congress_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Martha_McSally
Arkansas,John Boozman,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/John_Boozman%2C_official_portrait%2C_112th_Congress_%28cropped%29.jpg/95px-John_Boozman%2C_official_portrait%2C_112th_Congress_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/John_Boozman
Arkansas,Tom Cotton,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Tom_Cotton_official_Senate_photo_%28cropped%29.jpg/95px-Tom_Cotton_official_Senate_photo_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Tom_Cotton
California,Dianne Feinstein,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Dianne_Feinstein%2C_official_Senate_photo_2_%28cropped%29.jpg/95px-Dianne_Feinstein%2C_official_Senate_photo_2_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Dianne_Feinstein
California,Kamala Harris,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Kamala_Harris_official_photo_%28cropped%29.jpg/95px-Kamala_Harris_official_photo_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Kamala_Harris
Colorado,Michael Bennet,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Michael_Bennet_Official_Photo_%28cropped%29.jpg/95px-Michael_Bennet_Official_Photo_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Michael_Bennet
Colorado,Cory Gardner,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Cory_Gardner_official_Senate_portrait_%28cropped%29.jpeg/95px-Cory_Gardner_official_Senate_portrait_%28cropped%29.jpeg,https://en.wikipedia.org/wiki/wiki/Cory_Gardner
Connecticut,Richard Blumenthal,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Richard_Blumenthal_Official_Portrait_%28cropped%29.jpg/95px-Richard_Blumenthal_Official_Portrait_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Richard_Blumenthal
Connecticut,Chris Murphy,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Chris_Murphy%2C_official_portrait%2C_113th_Congress_%28cropped%29.jpg/95px-Chris_Murphy%2C_official_portrait%2C_113th_Congress_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Chris_Murphy
Delaware,Tom Carper,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Tom_Carper%2C_official_portrait%2C_112th_Congress_%28cropped%29.jpg/95px-Tom_Carper%2C_official_portrait%2C_112th_Congress_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Tom_Carper
Delaware,Chris Coons,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Chris_Coons%2C_official_portrait%2C_112th_Congress_%28cropped%29.jpg/95px-Chris_Coons%2C_official_portrait%2C_112th_Congress_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Chris_Coons
Florida,Marco Rubio,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Senator_Rubio_official_portrait_%28cropped%29.jpg/95px-Senator_Rubio_official_portrait_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Marco_Rubio
Florida,Rick Scott,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Official_Portrait_of_Senator_Rick_Scott_%28cropped%29.jpg/95px-Official_Portrait_of_Senator_Rick_Scott_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Rick_Scott
Georgia,David Perdue,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/David_Perdue%2C_Official_Portrait%2C_114th_Congress_%28cropped%29.jpg/95px-David_Perdue%2C_Official_Portrait%2C_114th_Congress_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/David_Perdue
Georgia,Kelly Loeffler,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Kelly_Loeffler_%28cropped%29.jpg/95px-Kelly_Loeffler_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Kelly_Loeffler
Hawaii,Brian Schatz,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Brian_Schatz%2C_official_portrait%2C_113th_Congress_2_%28cropped%29.jpg/95px-Brian_Schatz%2C_official_portrait%2C_113th_Congress_2_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Brian_Schatz
Hawaii,Mazie Hirono,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Mazie_Hirono%2C_official_portrait%2C_113th_Congress_%28cropped%29.jpg/95px-Mazie_Hirono%2C_official_portrait%2C_113th_Congress_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Mazie_Hirono
Idaho,Mike Crapo,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Mike_Crapo_Official_Photo_110th_Congress_%28cropped%29.jpg/95px-Mike_Crapo_Official_Photo_110th_Congress_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Mike_Crapo
Idaho,Jim Risch,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Jim_Risch_official_portrait_%28cropped%29.jpg/95px-Jim_Risch_official_portrait_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Jim_Risch
Illinois,Dick Durbin,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Richard_Durbin_official_photo_%28cropped%29.jpg/95px-Richard_Durbin_official_photo_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Dick_Durbin
Illinois,Tammy Duckworth,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Tammy_Duckworth_115th_official_portrait_%28cropped%29.jpg/95px-Tammy_Duckworth_115th_official_portrait_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Tammy_Duckworth
Indiana,Todd Young,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Senator_Todd_Young_official_portrait_%28cropped%29.jpg/95px-Senator_Todd_Young_official_portrait_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Todd_Young
Indiana,Mike Braun,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Mike_Braun%2C_Official_Portrait%2C_116th_Congress_%28cropped%29.jpg/95px-Mike_Braun%2C_Official_Portrait%2C_116th_Congress_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Mike_Braun
Iowa,Chuck Grassley,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Chuck_Grassley_official_photo_2017_%28cropped%29.jpg/95px-Chuck_Grassley_official_photo_2017_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Chuck_Grassley
Iowa,Joni Ernst,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Joni_Ernst%2C_official_portrait%2C_116th_Congress_3.jpg/95px-Joni_Ernst%2C_official_portrait%2C_116th_Congress_3.jpg,https://en.wikipedia.org/wiki/wiki/Joni_Ernst
Kansas,Pat Roberts,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Pat_Roberts_official_Senate_photo_%28cropped%29.jpg/95px-Pat_Roberts_official_Senate_photo_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Pat_Roberts
Kansas,Jerry Moran,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Jerry_Moran%2C_official_portrait%2C_112th_Congress_%28cropped%29.jpg/95px-Jerry_Moran%2C_official_portrait%2C_112th_Congress_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Jerry_Moran
Kentucky,Mitch McConnell,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Sen_Mitch_McConnell_official_%28cropped%29.jpg/95px-Sen_Mitch_McConnell_official_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Mitch_McConnell
Kentucky,Rand Paul,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Rand_Paul%2C_official_portrait%2C_112th_Congress_alternate_%28cropped%29.jpg/95px-Rand_Paul%2C_official_portrait%2C_112th_Congress_alternate_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Rand_Paul
Louisiana,Bill Cassidy,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Bill_Cassidy_official_Senate_photo_%28cropped%29.jpg/95px-Bill_Cassidy_official_Senate_photo_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Bill_Cassidy
Louisiana,John Kennedy,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/John_Neely_Kennedy%2C_official_portrait%2C_115th_Congress.jpg/95px-John_Neely_Kennedy%2C_official_portrait%2C_115th_Congress.jpg,https://en.wikipedia.org/wiki/wiki/John_Kennedy_(Louisiana_politician)
Maine,Susan Collins,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Susan_Collins_official_Senate_photo_%28cropped%29.jpg/95px-Susan_Collins_official_Senate_photo_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Susan_Collins
Maine,Angus King,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Angus_King%2C_official_portrait%2C_113th_Congress_%28cropped%29.jpg/95px-Angus_King%2C_official_portrait%2C_113th_Congress_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Angus_King
Maryland,Ben Cardin,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Ben_Cardin_official_Senate_portrait_%28cropped%29.jpg/95px-Ben_Cardin_official_Senate_portrait_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Ben_Cardin
Maryland,Chris Van Hollen,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Chris_Van_Hollen_official_portrait_115th_Congress_%28cropped%29.jpg/95px-Chris_Van_Hollen_official_portrait_115th_Congress_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Chris_Van_Hollen
Massachusetts,Elizabeth Warren,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Elizabeth_Warren%2C_official_portrait%2C_114th_Congress_%28cropped%29.jpg/95px-Elizabeth_Warren%2C_official_portrait%2C_114th_Congress_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Elizabeth_Warren
Massachusetts,Ed Markey,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Edward_Markey%2C_official_portrait%2C_114th_Congress_%28cropped%29.jpg/95px-Edward_Markey%2C_official_portrait%2C_114th_Congress_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Ed_Markey
Michigan,Debbie Stabenow,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Debbie_Stabenow%2C_official_photo%2C_116th_Congress_%28cropped%29.jpg/95px-Debbie_Stabenow%2C_official_photo%2C_116th_Congress_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Debbie_Stabenow
Michigan,Gary Peters,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Gary_Peters_official_photo_115th_congress_%28cropped%29.jpg/95px-Gary_Peters_official_photo_115th_congress_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Gary_Peters
Minnesota,Amy Klobuchar,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Amy_Klobuchar%2C_official_portrait%2C_113th_Congress_%28cropped%29.jpg/95px-Amy_Klobuchar%2C_official_portrait%2C_113th_Congress_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Amy_Klobuchar
Minnesota,Tina Smith,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Tina_Smith%2C_official_portrait%2C_116th_congress_%28cropped%29.jpg/95px-Tina_Smith%2C_official_portrait%2C_116th_congress_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Tina_Smith
Mississippi,Roger Wicker,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Roger_F._Wicker_crop.jpg/95px-Roger_F._Wicker_crop.jpg,https://en.wikipedia.org/wiki/wiki/Roger_Wicker
Mississippi,Cindy Hyde-Smith,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Cindy_Hyde-Smith_official_photo_%28cropped%29.jpg/95px-Cindy_Hyde-Smith_official_photo_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Cindy_Hyde-Smith
Missouri,Roy Blunt,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Roy_Blunt%2C_Official_Portrait%2C_112th_Congress_%28cropped%29.jpg/95px-Roy_Blunt%2C_Official_Portrait%2C_112th_Congress_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Roy_Blunt
